data_movimento, data_nf, codnota, numfilial, codbarra, codproduto, produto, codcor, codtamanho, quantity, price, valor_total, custo_medio, fufilled_quantity, total_sold_quantity, outbound_quantity, status, last_nota_status, codfilial
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15636, 21102, 4895229119390, TPV-LR03P16B/59, 219307, 000, U, 48.0, 12.96, 622.08, 15.46, 48.0, 2.0, -46.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15628, 21102, 4895229125575, TPV-ZA10B6A/59, 219324, 000, U, 200.0, 7.2, 1440.0, 8.59, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15640, 21102, 4895229117402, TPV-TAT2206BK/00, 219356, 000, U, 24.0, 102.09, 2450.16, 115.46, 24.0, 13.0, -11.0, p, f, TPV 
2023-11-24 00:00:00, 2023-11-16 00:00:00, 17624, 21102, 4895229117402, TPV-TAT2206BK/00, 219356, 000, U, 24.0, 105.52, 2532.48, 117.25, 0, 13.0, -35.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61136, 21102, 7898620271398, TPV-55PUG7406/78, 219189, 000, U, 6.0, 1700.42, 10202.52, 1726.4, 6.0, 2.0, -4.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61138, 21102, 7898620271527, TPV-43PFG6917/78, 219186, 000, U, 8.0, 1150.94, 9207.52, 1168.53, 8.0, 7.0, -1.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61143, 21102, 7898620271459, TPV-75PUG7906/78, 219198, 000, U, 4.0, 3552.01, 14208.04, 3606.28, 4.0, 2.0, -2.0, p, f, TPV 
2023-10-26 00:00:00, 2023-10-26 00:00:00, 78449, 21102, 7898620271459, TPV-75PUG7906/78, 219198, 000, U, 1.0, 3999.0, 3999.0, 3606.28, 0, 2.0, -3.0, n, f, TPV 
2023-11-14 00:00:00, 2023-11-14 00:00:00, 78563, 21102, 7898620271459, TPV-75PUG7906/78, 219198, 000, U, 1.0, 3999.0, 3999.0, 3606.28, 0, 2.0, -4.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15627, 21102, 4895229125582, TPV-ZA13B6A/59, 219325, 000, U, 200.0, 7.23, 1446.0, 8.62, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15626, 21102, 4895229125599, TPV-ZA312B6A/59, 219326, 000, U, 200.0, 7.22, 1444.0, 8.61, 200.0, 8.0, -192.0, p, f, TPV 
2023-11-24 00:00:00, 2023-11-16 00:00:00, 17622, 21102, 4895229125599, TPV-ZA312B6A/59, 219326, 000, U, 200.0, 7.95, 1590.0, 9.48, 0, 8.0, -392.0, n, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78831, 21102, 4895229125599, TPV-ZA312B6A/59, 219326, 000, U, 6.0, 19.9, 119.39999999999999, 9.48, 0, 8.0, -398.0, n, t, TPV 
